"pitch_speed_mph","max_shoulder_internal_rotational_velo","max_torso_rotational_velo","max_shoulder_external_rotation","shoulder_horizontal_abduction_fp","pelvis_anterior_tilt_fp","max_cog_velo_x","glove_shoulder_external_rotation_fp","torso_lateral_tilt_br","lead_knee_extension_from_fp_to_br","stride_angle","max_shoulder_horizontal_abduction","shoulder_generation_fp_br","elbow_absorption_fp_br","lead_knee_transfer_fp_br","rear_hip_generation_pkh_fp"
90.4,4533.248,958.0878,162.348,53.7302,8.2744,3.3113,-46.638,16.9053,10.1399,5.3785,53.8175,72.518,88.0793,70.8131,173.1504
90.4,4571.1735,969.5766,162.8656,55.734,5.0692,3.2385,-47.7522,18.7871,14.8421,1.1214,55.9667,66.5717,81.1477,89.3801,180.7929
77.6,4165.3055,1090.2269,158.8107,47.1102,9.5675,2.911,-33.7316,21.1152,26.2749,7.946,49.0236,7.2968,24.0842,136.0782,146.291
77,3832.1715,1105.2275,155.2244,46.661,6.4666,3.093,-39.2897,20.7396,12.7819,7.3773,46.7557,9.6288,31.7676,112.2196,185.6076
76.1,3970.7971,1110.485,156.2257,47.2912,4.9964,3.0013,-39.5512,23.5627,32.7313,7.3923,48.8516,7.4368,25.755,144.0534,188.29
80.9,4603.9004,964.559,155.2434,34.974,9.4998,2.9649,-22.5698,19.6864,12.6508,3.798,52.6238,32.5835,70.6912,41.3699,86.1514
82.6,4747.0902,968.1194,157.7356,34.7562,8.3577,3.0202,-23.2103,24.7,10.0847,3.7214,41.9626,29.9486,68.653,40.4185,93.4677
88.1,4852.751,1071.495,164.4621,60.086,16.0628,3.2749,-36.925,24.5103,16.1337,-1.7348,60.4374,42.0423,49.3482,41.8126,174.0266
88.6,2717.6363,1107.7876,171.7483,59.5109,14.7233,3.3288,-38.5943,26.3491,20.4489,-2.8191,60.3625,33.8369,57.4843,52.0949,203.1844
85.8,4666.8763,1216.4581,158.2767,47.7511,13.9677,3.039,-60.0176,20.8006,11.7028,-4.8882,73.5387,4.1384,18.3509,53.5918,171.4638
85.9,4746.3833,1201.3612,159.9967,49.3646,14.2662,3.1293,-60.2375,17.9679,7.9452,-3.7634,75.8228,1.8522,18.7717,44.6124,174.9833
85.8,4790.539,1190.8503,163.6532,48.8967,14.1369,3.039,-59.0543,17.5345,14.45,-4.7763,73.9714,1.7343,47.4327,49.6586,175.9136
84.6,5038.9421,1152.9967,181.1754,53.4195,6.1038,3.2749,-21.7049,18.6014,34.0138,3.3961,53.8909,12.2904,49.9022,61.3369,146.5395
84.5,5412.5614,1158.6598,181.247,52.5763,3.9376,3.1657,-23.4735,19.6318,38.1721,4.3453,53.7841,10.295,49.08,58.8374,157.5508
84.8,4992.0132,1150.8842,180.423,53.7096,6.1294,3.1293,-18.2912,17.7542,34.8785,3.8597,54.9928,8.5651,46.2989,56.161,144.5623
87.8,4378.9195,1152.4505,156.3049,45.3359,24.4865,2.911,-39.0216,6.935,23.866,6.8196,56.1419,42.5345,54.8845,57.7861,183.5992
86.9,4378.0302,1128.4979,158.2781,47.4607,24.8838,3.0026,-40.4189,9.0007,10.5046,7.7095,61.4977,36.4721,46.1824,47.3267,159.3829
86.9,4476.5891,1180.0418,158.9088,45.7115,22.8703,2.911,-38.5218,8.2042,23.527,5.639,58.3429,34.2694,47.9142,73.2981,194.087
87.4,4470.4298,1036.2166,176.3965,54.5165,11.0694,3.3841,-36.8815,9.9492,-4.324,-1.779,54.7356,55.8012,79.6227,9.8635,160.9066
87.8,4472.2029,1049.9827,177.1948,52.947,10.3312,3.4029,-41.346,8.6506,-4.5271,0.3587,54.5161,52.6016,77.5226,11.0593,154.6513
71.3,4296.6623,994.3276,150.535,19.7078,-10.1705,2.8382,-30.2058,31.1524,-1.7492,-8.8481,22.6615,4.0429,34.8154,22.8265,121.3334
69.9,4319.4988,947.3004,150.36,19.6761,-7.4975,2.8746,-37.6582,29.7153,-1.2455,-10.1346,23.6921,4.6424,32.3959,29.83,119.2704
69.5,4320.9953,968.5634,151.2893,21.4609,-7.8923,2.8746,-38.9203,27.9328,-4.9586,-8.1327,23.0752,5.839,35.2964,16.5385,131.1502
86.3,4924.019,1041.423,169.2997,46.992,4.8053,2.8922,-51.1587,30.5094,14.657,1.7493,49.0446,42.7738,47.7717,36.7591,179.3477
86.7,4886.0786,1034.0795,170.0083,46.4177,3.5796,3.0202,-51.6846,32.0301,15.5418,2.5596,50.5484,43.4643,50.6365,48.8311,189.4494
86.8,4986.0166,1032.7659,171.4072,44.9372,3.1482,2.9663,-50.9973,32.8497,14.3316,3.4363,49.7918,55.2005,62.7303,43.8862,185.2959
78.7,4114.833,985.7907,179.194,27.6105,0.6953,2.8935,-35.134,24.2749,7.0863,13.3353,27.6718,28.9822,51.278,13.5263,95.4617
78.6,4110.2161,1006.9553,179.7406,28.2919,0.4521,2.8746,-44.5166,23.8671,7.4095,11.3191,29.471,29.9066,53.6452,12.7372,94.6568
77.9,4121.7197,1013.7085,179.8952,29.1571,1.6779,2.8922,-47.0848,25.9175,9.1199,14.3212,29.3182,32.1112,54.7615,13.4636,115.7381
86,4171.3972,1074.3927,171.2329,48.06,9.0285,2.6738,-27.3183,12.5779,-2.0729,-6.8163,51.4594,66.0744,72.4097,42.8652,264.6902
84.6,4119.7887,1057.3928,173.3027,50.1837,11.0078,2.6563,-24.4947,12.4999,-5.641,-4.7812,50.6379,59.1672,65.5703,29.7971,201.437
86,4191.9269,1060.4802,175.046,48.944,9.243,2.7843,-24.3936,11.914,-2.1803,-5.2121,50.6812,70.6516,75.7123,44.4073,256.6221
91.8,4548.6288,1067.5775,172.3515,38.4432,23.9886,3.0202,-28.4428,6.5594,-7.0362,-7.3577,57.4465,53.9035,68.4281,25.7126,214.1893
90.3,4457.0226,1087.3926,172.8179,43.6023,21.929,3.0566,-22.9257,6.7458,-7.6399,-5.4804,57.8636,53.9542,71.6254,14.3539,215.4514
90.6,4647.0357,1075.4321,174.8582,46.3866,18.6748,3.0741,-27.3972,10.2418,-1.4067,-6.7803,58.2855,44.1975,56.4441,36.166,216.4785
89.8,4413.6989,1015.8496,184.7196,63.2703,7.6171,2.9838,-29.0502,13.8828,-3.9558,5.642,63.4027,64.7632,48.2368,21.8088,31.3489
