"Variable","VIF"
"lead_grf_mag_max",134.420332821927
"rear_grf_mag_max",92.2567198542279
"lead_grf_z_max",91.7607885699177
"shoulder_transfer_fp_br",68.9941573030812
"rear_grf_z_max",57.0728584669737
"shoulder_internal_rotation_moment",53.1905108155853
"elbow_varus_moment",50.0330492085566
"thorax_distal_transfer_fp_br",43.6508286182385
"elbow_transfer_fp_br",40.3307908886716
"rear_grf_x_max",14.976916398622
"lead_grf_x_max",13.5304633054785
"rotation_hip_shoulder_separation_fp",11.0404341212986
"max_rotation_hip_shoulder_separation",10.2751256414596
"max_shoulder_horizontal_abduction",4.8778009350053
"shoulder_horizontal_abduction_fp",4.75151693785358
"elbow_absorption_fp_br",4.00802018893864
"shoulder_generation_fp_br",3.75165136956469
"max_shoulder_external_rotation",2.99490315371132
"max_cog_velo_x",2.82469565028811
"lead_knee_extension_from_fp_to_br",2.55778476540602
"max_torso_rotational_velo",2.46659434632173
"lead_knee_transfer_fp_br",2.23710165416818
"max_shoulder_internal_rotational_velo",2.16050942225725
"glove_shoulder_external_rotation_fp",1.88882280388957
"stride_angle",1.7847475088203
"pelvis_anterior_tilt_fp",1.6855357050505
"torso_lateral_tilt_br",1.53811822644604
"rear_hip_generation_pkh_fp",1.51354444333749
