variable,rf,mi,lasso,ensemble_score,correlation,r2
elbow_transfer_fp_br,1.0,1.0,1.0,1.0,0.6909451238371457,0.47740516415432843
thorax_distal_transfer_fp_br,0.32957083847423896,0.9539814360970125,0.0,0.5134209098285006,0.6449663527967738,0.41598159623997266
shoulder_transfer_fp_br,0.15035107567293873,0.9030471147192168,0.0,0.42135927615686225,0.6512213098964208,0.42408919446321025
shoulder_internal_rotation_moment,0.04469874901087728,0.7336274856243171,0.37585025341379324,0.38650054453683647,0.5249386331139128,0.27556056853550326
max_shoulder_external_rotation,0.027712772367882336,0.6932759001491656,0.27451355564486285,0.3432981801357917,0.32799053349842305,0.10757779006458013
elbow_flexion_fp,0.03667123815251219,0.710744389296015,0.1638248073740806,0.33173121245422704,-0.1462737495023663,0.021396009793481108
shoulder_horizontal_abduction_fp,0.07402698292726907,0.6019161165797117,0.18889526273517368,0.30815629234982705,0.39020149647884367,0.15225720785432917
max_shoulder_horizontal_abduction,0.08226628817136417,0.6548462295866837,0.0,0.29484500710321915,0.35853903079683286,0.12855023660473242
torso_anterior_tilt_mer,0.03295624984540983,0.6889267042549334,0.0,0.2887531816401373,0.16627421465502895,0.027647114459146804
torso_anterior_tilt_br,0.019089856059311024,0.692921031777784,0.0,0.284804355134838,0.10634762613391723,0.011309817584319481
elbow_varus_moment,0.02439096711080914,0.6678234912502722,0.0,0.27688578334443253,0.4726122678280577,0.2233623557015798
max_shoulder_internal_rotational_velo,0.1376362839208545,0.3624816089968148,0.27289937887707716,0.2546270329424832,0.3125366588733149,0.09767916313969505
max_elbow_flexion,0.0314676090404663,0.5837797483814566,0.0,0.24609894296876916,-0.1025052876103841,0.010507333988087453
max_torso_rotational_velo,0.05368196040357014,0.31719850810307443,0.4282572689490063,0.23400364119245912,0.3278163995644175,0.10746359182337784
glove_shoulder_external_rotation_fp,0.026918839653756337,0.5514431940923977,0.012877112321518423,0.23392023596276532,-0.2012378944668253,0.04049669016944135
torso_lateral_tilt_br,0.01377017924754976,0.5609789331485563,0.0,0.22989964495844242,-0.21636895448631913,0.04681552446550319
rear_grf_mag_max,0.0093837614971941,0.5165717559289948,0.0,0.21038220697047558,0.2723888900591201,0.07419570742763937
pelvis_anterior_tilt_fp,0.019275198152584522,0.499255764088405,0.0,0.20741238489639582,0.23915039472204244,0.057192911295708915
rear_grf_x_max,0.010235858206597063,0.4938050258256572,0.0,0.20161635361290173,0.31052087394411226,0.09642321315501523
rear_grf_z_max,0.014653815186682299,0.4810427667758359,0.0,0.1982786327850073,0.2372488973317203,0.05628703928511736
arm_slot,0.04630461366502178,0.3500520471540397,0.18146214245610406,0.19483509281884542,-0.3007739968140909,0.09046499715952283
