pitch_speed_mph,arm_slot,cog_velo_pkh,elbow_absorption_fp_br,elbow_flexion_fp,elbow_pronation_fp,elbow_transfer_fp_br,glove_shoulder_abduction_fp,glove_shoulder_external_rotation_fp,lead_grf_x_max,lead_grf_z_max,lead_hip_absorption_fp_br,lead_hip_transfer_fp_br,lead_knee_absorption_fp_br,lead_knee_extension_angular_velo_max,lead_knee_extension_from_fp_to_br,lead_knee_generation_fp_br,lead_knee_transfer_fp_br,max_cog_velo_x,max_elbow_extension_velo,max_elbow_flexion,max_rotation_hip_shoulder_separation,max_shoulder_external_rotation,max_shoulder_horizontal_abduction,max_shoulder_internal_rotational_velo,max_torso_rotational_velo,pelvis_anterior_tilt_fp,pelvis_lumbar_transfer_fp_br,pelvis_rotation_fp,rear_grf_mag_max,rear_grf_x_max,rear_hip_generation_pkh_fp,rear_knee_transfer_pkh_fp,shoulder_generation_fp_br,shoulder_horizontal_abduction_fp,shoulder_internal_rotation_moment,stride_angle,stride_length,torso_anterior_tilt_mer,torso_lateral_tilt_br,torso_lateral_tilt_fp,session_pitch,user,session_mass_kg,session_height_m,age_yrs,playing_level,p_throws
90.4,39.7377,0.4643,88.0793,86.3476,13.8688,481.4378,85.9397,-46.638,1278.4966,2484.8747,119.5385,48.2958,32.104,452.7888,10.1399,74.767,70.8131,3.3113,2445.8177,109.9971,32.3152,162.348,53.8175,4533.248,958.0878,8.2744,157.7995,31.7105,1736.0368,1019.3193,173.1504,33.8403,72.518,53.7302,135.2726,5.3785,0.8374,16.9991,16.9053,-7.0313,1031_2,750.0,110.6784,1.9304,21.4,college,R
90.4,42.9766,0.4367,81.1477,88.6095,12.6106,474.0084,85.2882,-47.7522,1436.1255,2690.7521,110.9249,65.9816,23.9261,513.3286,14.8421,67.1017,89.3801,3.2385,2389.5438,109.1065,32.5547,162.8656,55.9667,4571.1735,969.5766,5.0692,170.312,33.967,1728.0176,989.5197,180.7929,28.0193,66.5717,55.734,138.57,1.1214,0.8316,14.1951,18.7871,-8.5668,1031_3,750.0,110.6784,1.9304,21.4,college,R
77.6,49.1484,0.2008,24.0842,121.7674,30.413,301.6148,81.8611,-33.7316,957.3923,1767.4604,106.6119,133.6156,26.2777,333.5518,26.2749,69.9222,136.0782,2.911,2426.3029,123.4752,33.1477,158.8107,49.0236,4165.3055,1090.2269,9.5675,176.2563,22.1156,1283.0751,681.3699,146.291,51.9809,7.2968,47.1102,129.825,7.946,0.8133,31.2288,21.1152,-4.9416,1097_1,774.0,101.1528,1.9304,19.41,college,R
77.0,48.7847,0.2679,31.7676,124.6367,27.9551,305.9263,78.8461,-39.2897,860.3796,1715.1864,130.8038,104.0661,46.5019,350.0649,12.7819,66.3762,112.2196,3.093,2424.0493,124.6578,27.9286,155.2244,46.7557,3832.1715,1105.2275,6.4666,156.9992,21.9905,1354.715,725.3155,185.6076,38.8029,9.6288,46.661,125.8818,7.3773,0.8388,34.2347,20.7396,-5.7722,1097_2,774.0,101.1528,1.9304,19.41,college,R
76.1,52.8456,0.2143,25.755,122.6406,27.6273,294.6701,79.6251,-39.5512,1066.6047,2120.451,108.4172,123.9626,66.8752,477.7753,32.7313,77.5777,144.0534,3.0013,2497.6253,124.8308,28.9909,156.2257,48.8516,3970.7971,1110.485,4.9964,150.1562,15.3995,1425.2124,769.1282,188.29,34.0692,7.4368,47.2912,126.7753,7.3923,0.8014,37.0189,23.5627,-9.1403,1097_3,774.0,101.1528,1.9304,19.41,college,R
80.9,41.7719,0.2722,70.6912,80.702,30.9239,298.6862,82.2324,-22.5698,1085.0254,1900.9438,68.8546,25.438,29.7146,354.4133,12.6508,28.4714,41.3699,2.9649,2665.2126,118.1284,38.4456,155.2434,52.6238,4603.9004,964.559,9.4998,132.9972,24.621,1373.1956,704.2612,86.1514,47.1823,32.5835,34.974,90.3626,3.798,0.8769,2.5123,19.6864,-19.6663,1170_1,653.0,82.1016,1.9304,20.52,college,R
82.6,46.557,0.25,68.653,82.7032,28.9589,303.1572,79.7856,-23.2103,1081.7529,1830.1006,76.3256,25.8094,25.3441,304.9185,10.0847,27.5984,40.4185,3.0202,2752.6389,119.8693,37.9762,157.7356,41.9626,4747.0902,968.1194,8.3577,149.5599,24.2283,1365.4125,682.9131,93.4677,47.1739,29.9486,34.7562,93.9619,3.7214,0.866,5.0736,24.7,-20.5863,1170_2,653.0,82.1016,1.9304,20.52,college,R
88.1,42.4603,0.3036,49.3482,93.0574,15.7671,288.13,80.8426,-36.925,976.6141,1684.9515,65.5043,66.9437,10.6896,434.884,16.1337,60.6176,41.8126,3.2749,2424.4095,105.1611,27.946,164.4621,60.4374,4852.751,1071.495,16.0628,100.8855,28.1034,1546.4909,891.2334,174.0266,66.1891,42.0423,60.086,100.8643,-1.7348,0.8323,26.2712,24.5103,-2.064,1250_1,738.0,78.4728,1.7526,21.49,college,L
88.6,45.6133,0.3275,57.4843,95.0839,16.8364,348.9552,81.2127,-38.5943,1061.2568,1741.0053,93.395,72.06,10.0959,456.2266,20.4489,59.6514,52.0949,3.3288,2226.0331,108.9582,30.1618,171.7483,60.3625,2717.6363,1107.7876,14.7233,89.6302,30.818,1593.158,912.3933,203.1844,66.7109,33.8369,59.5109,104.6043,-2.8191,0.8472,29.2643,26.3491,0.2339,1250_3,738.0,78.4728,1.7526,21.49,college,L
85.8,43.5096,0.2183,18.3509,129.4316,11.6488,267.2546,82.1801,-60.0176,1081.9318,1956.6626,89.8198,90.2735,35.0298,373.0743,11.7028,66.8816,53.5918,3.039,2572.6068,129.7098,39.9065,158.2767,73.5387,4666.8763,1216.4581,13.9677,69.2881,34.2978,1338.9922,831.1071,171.4638,77.3428,4.1384,47.7511,118.6722,-4.8882,0.8852,20.6033,20.8006,-8.8346,1313_1,789.0,84.3696,1.8288,19.02,college,R
