Model,Technique,Technique_Model,Val_R2,Val_RMSE,Val_MAE,Val_MedianAE,Test_R2,Test_RMSE,Test_MAE,Test_MedianAE
force_model,rf,rf_force_model,0.1809496767910821,4.5057767935783355,3.499796774193547,2.6584499999997107,-0.4312376767242483,5.212249235787633,3.8667822580645694,2.6012500000004337
upper_body_model,rf,rf_upper_body_model,0.7980545568620008,2.237337025601809,1.7275935483870846,1.2156500000004868,0.6530049186133129,2.5664390430975805,1.9848193548387676,1.4702499999995666
lower_body_model,rf,rf_lower_body_model,0.7355818576327152,2.5601181338040093,1.9831580645161009,1.725049999999861,0.6766294474378952,2.4775334602407857,1.866472580645128,1.373349999999867
full_model,rf,rf_full_model,0.8353808368561257,2.020014912991921,1.5606935483870834,1.3309499999997811,0.7761541220994684,2.061312537735614,1.6200887096774585,1.3102999999996001
force_model,elasticnet,elasticnet_force_model,0.18177336969471347,4.503510565339448,3.723645286486322,3.2081079677974813,-0.009203784700885453,4.376820434798366,3.5337729727098908,2.8513444539068473
upper_body_model,elasticnet,elasticnet_upper_body_model,0.6827470017082026,2.8042533573698587,2.291672735195407,2.0381670935136,0.5488581234227887,2.9263472861616395,2.4422985888374704,2.249003721412329
lower_body_model,elasticnet,elasticnet_lower_body_model,0.20977469784968406,4.425780250750381,3.567264839216327,2.9470955264563017,0.2817841735836759,3.692298293947973,2.995690102383356,2.569724344658077
full_model,elasticnet,elasticnet_full_model,0.7060021373022409,2.6995194909542692,2.1809376866526704,1.9453296338998882,0.6018695824626742,2.7490457902423713,2.232410306094855,2.1177747658467183
force_model,gam,gam_force_model,0.2663520407834259,4.26440297637638,3.4788556948431966,3.25148356912122,-0.05393344973865921,4.4727630175136035,3.4980549092796163,2.3783279988919617
upper_body_model,gam,gam_upper_body_model,0.7520111865328813,2.479307683067141,2.0454683139577345,1.8103007404974676,0.7171781203334444,2.3169987331228015,1.762456651276884,1.2487370184535678
lower_body_model,gam,gam_lower_body_model,0.5889561724423924,3.1919673941588886,2.6205387214494094,2.591752654934524,0.4510102233512776,3.228133023917772,2.596146984182437,1.9737622833723165
full_model,gam,gam_full_model,0.8331054804230291,2.0339272679526,1.6734300260262318,1.6025892374227766,0.7530293479763159,2.165169837137855,1.8171968600360304,1.6749392715058846
force_model,mlp,mlp_force_model,0.30259709067075546,4.157729762029951,3.32823407581498,3.3816620526440673,-0.0779499516518043,4.523437487288668,3.4968200361219255,2.4121972932755043
upper_body_model,mlp,mlp_upper_body_model,0.7496457023048175,2.491104271652744,2.1066500767692635,1.9615989151255917,0.6334087670478006,2.637912169760584,2.16731518153611,1.9289868324869346
lower_body_model,mlp,mlp_lower_body_model,0.3311912900829821,4.071602206474878,3.257186480677265,2.563555311552392,0.42848215887469754,3.2937011417544015,2.6262903591022595,2.2943275335366096
full_model,mlp,mlp_full_model,0.2883858212712408,4.1998780217906075,3.2600707513357046,2.6324662170303768,-0.6019158088346179,5.514284104017322,4.153144708484672,3.1522100361726686
