PLAYER_ID,PLAYER_NAME,BIRTHDATE,HEIGHT_INCHES,COUNTRY,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,POSITION,TEAM_ID,TEAM_NAME
1641851,Timmy Allen,2000-01-09,78.0,USA,0,0,0,Forward,0,FREE AGENT
203648,Thanasis Antetokounmpo,1992-07-18,79.0,Greece,2014,2,51,Forward,1610612749,Bucks
1627853,Ryan Arcidiacono,1994-03-26,75.0,USA,0,0,0,Guard,0,FREE AGENT
1628962,Udoka Azubuike,1999-09-17,83.0,Nigeria,2020,1,27,Center-Forward,1610612756,Suns
1630641,Ibou Badji,2002-10-13,84.0,Senegal,0,0,0,Center,1610612757,Trail Blazers
1641735,Amari Bailey,2004-02-17,75.0,USA,2023,2,41,Guard,1610612766,Hornets
1628964,Mo Bamba,1998-05-12,84.0,USA,2018,1,6,Center,0,FREE AGENT
1628966,Keita Bates-Diop,1996-01-23,80.0,USA,2018,2,48,Forward,1610612751,Nets
1629647,Darius Bazley,2000-06-12,81.0,USA,2019,1,23,Forward,1610612762,Jazz
1631262,Jules Bernard,2000-01-21,78.0,USA,0,0,0,Guard,1610612764,Wizards
202722,Dāvis Bertāns,1992-11-12,82.0,Latvia,2011,2,42,Forward,1610612766,Hornets
201976,Patrick Beverley,1988-07-12,74.0,USA,2009,2,42,Guard,1610612749,Bucks
1630180,Saddiq Bey,1999-04-09,79.0,USA,2020,1,19,Guard-Forward,1610612764,Wizards
1641931,Onuralp Bitim,1999-03-31,78.0,Turkey,0,0,0,Forward,1610612741,Bulls
1641778,Leaky Black,1999-06-14,78.0,USA,0,0,0,Forward,1610612766,Hornets
1631205,Buddy Boeheim,1999-11-11,77.0,USA,0,0,0,Forward,1610612765,Pistons
202711,Bojan Bogdanović,1989-04-18,79.0,Croatia,2011,2,31,Forward,1610612752,Knicks
1629716,Marques Bolden,1998-04-17,82.0,USA,2019,0,0,Center,1610612766,Hornets
1630547,James Bouknight,2000-09-18,76.0,USA,2021,1,11,Guard,0,FREE AGENT
1629052,Oshae Brissett,1998-06-20,79.0,Canada,0,0,0,Forward-Guard,0,FREE AGENT
1631167,Izaiah Brockington,1999-07-12,76.0,USA,0,0,0,Guard,0,FREE AGENT
1629717,Armoni Brooks,1998-06-05,75.0,USA,2019,0,0,Guard,0,FREE AGENT
1631112,Kendall Brown,2003-05-11,79.0,USA,2022,2,48,Guard,1610612754,Pacers
1629650,Moses Brown,1999-10-13,86.0,USA,0,0,0,Center,0,FREE AGENT
1630535,Greg Brown III,2001-09-01,79.0,USA,2021,2,43,Forward,1610612742,Mavericks
1629718,Charlie Brown Jr.,1997-02-02,78.0,USA,0,0,0,Guard,1610612752,Knicks
