PLAYER_ID,PLAYER_NAME,BIRTHDATE,HEIGHT_INCHES,COUNTRY,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,POSITION,TEAM_ID,TEAM_NAME
203112,Quincy Acy,1990-10-06,79.0,USA,2012,2,37,Forward,0,FREE AGENT
203919,Jordan Adams,1994-07-08,77.0,USA,2014,1,22,Guard,1610612763,Grizzlies
203500,Steven Adams,1993-07-20,83.0,New Zealand,2013,1,12,Center,1610612745,Rockets
201167,Arron Afflalo,1985-10-15,77.0,USA,2007,1,27,Guard,1610612743,Nuggets
201582,Alexis Ajinca,1988-05-06,86.0,France,2008,1,20,Center,1610612740,Pelicans
203128,Furkan Aldemir,1991-08-09,82.0,Turkey,2012,2,53,Forward-Center,1610612755,76ers
202332,Cole Aldrich,1988-10-31,83.0,USA,2010,1,11,Center,1610612752,Knicks
200746,LaMarcus Aldridge,1985-07-19,83.0,USA,2006,1,2,Center-Forward,1610612751,Nets
202730,Lavoy Allen,1989-02-04,81.0,USA,2011,2,50,Forward-Center,1610612754,Pacers
2754,Tony Allen,1982-01-11,76.0,USA,2004,1,25,Guard-Forward,0,FREE AGENT
202329,Al-Farouq Aminu,1990-09-21,80.0,USA,2010,1,8,Forward,1610612757,Trail Blazers
200811,Lou Amundson,1982-12-07,81.0,USA,0,0,0,Forward,1610612756,Suns
2365,Chris Andersen,1978-07-07,82.0,USA,0,0,0,Forward-Center,0,FREE AGENT
101187,Alan Anderson,1982-10-16,78.0,USA,0,0,0,Forward-Guard,1610612751,Nets
203937,Kyle Anderson,1993-09-20,81.0,USA,2014,1,30,Forward-Guard,1610612748,Heat
201583,Ryan Anderson,1988-05-06,81.0,USA,2008,1,21,Forward,0,FREE AGENT
203507,Giannis Antetokounmpo,1994-12-06,83.0,Greece,2013,1,15,Forward,1610612749,Bucks
2546,Carmelo Anthony,1984-05-29,79.0,USA,2003,1,3,Forward,1610612747,Lakers
201202,Joel Anthony,1982-08-09,81.0,Canada,0,0,0,Center,1610612748,Heat
