SHOT_DIST,CLOSE_DEF_DIST,TOUCH_TIME,SHOT_CLOCK,HEIGHT_DIFFERENTIAL,HAS_HEIGHT_ADVANTAGE,LOW_CLOCK,LONG_TOUCH,HIGH_DRIBBLE,SHOT_EVENT_ID
9.4,2.6,1.4,0.8,1.0,0,1,0,0,b28e95eb726e
25.7,5.2,2.1,0.0,6.0,1,1,0,0,06ac4f22b0a3
0.5,1.8,1.2,3.9,7.0,1,1,0,0,b5ec97064c9a
21.2,5.5,2.8,3.0,1.0,0,1,0,0,9e86e3741c5e
1.3,2.5,0.8,0.0,4.0,0,1,0,0,df5d6abeab7c
24.2,4.8,4.0,12.8,4.0,0,0,0,1,7e002a06515d
7.9,3.2,4.2,15.2,-4.0,0,0,0,0,9dc72a9ff018
13.9,2.0,3.8,6.9,3.0,0,0,0,0,f7ce2fcdfc86
9.8,3.1,1.8,11.2,-1.0,0,0,0,0,bc19338f9db9
22.4,8.4,1.0,9.0,-1.0,0,0,0,0,0a8e6f81c3a5
5.5,3.0,1.7,9.0,0.0,0,0,0,0,bbfa95b18348
24.1,5.1,0.8,17.6,1.0,0,0,0,0,ab2a1124ea91
16.1,5.3,15.3,7.0,-1.0,0,0,1,1,27b34d878f07
16.3,3.6,2.4,0.5,2.0,0,1,0,0,524efebc64f5
3.8,1.2,0.8,21.2,6.0,1,0,0,0,609f45d04f3f
22.8,5.9,0.8,15.1,-2.0,0,0,0,0,8988d927f5eb
25.9,6.5,12.8,11.5,-12.0,0,0,1,1,9e153fe03032
16.8,4.5,1.0,15.7,3.0,0,0,0,0,bb46da0aa467
3.6,1.4,1.5,23.2,4.0,0,0,0,0,ffbeff86f2c1
24.0,15.6,1.6,15.3,8.0,1,0,0,0,abc042986547
1.0,3.1,1.8,19.6,2.0,0,0,0,0,e9a75193d8c2
0.8,2.6,0.9,15.2,-1.0,0,0,0,0,67ec09b3f1f0
7.2,4.6,2.8,14.2,1.0,0,0,0,0,24cdf24abb0c
24.4,5.3,1.1,13.7,-2.0,0,0,0,0,2eab3357c9f8
10.2,0.9,3.6,11.3,-3.0,0,0,0,0,e2b55bfe089d
10.5,3.0,1.9,3.0,-10.0,0,1,0,0,49cf51506c4a
16.0,3.4,1.4,14.7,-3.0,0,0,0,0,8a8dd8c07978
5.3,3.6,1.3,17.3,0.0,0,0,0,0,a974bd93db3c
24.3,4.9,0.6,9.7,-3.0,0,0,0,0,527623149eec
3.0,2.0,1.0,20.5,-5.0,0,0,0,0,d58e384ecd08
13.8,2.6,4.3,11.2,0.0,0,0,0,0,236092547839
24.0,5.4,0.8,6.0,-6.0,0,0,0,0,9dde7de41aac
5.6,3.7,1.3,23.3,-2.0,0,0,0,0,7b1cbd32288b
19.6,4.6,0.8,5.9,-2.0,0,0,0,0,8a4c45a2ff8b
4.7,2.4,1.8,4.4,-9.0,0,1,0,0,bab8a6da3b77
25.3,6.1,5.5,18.7,-2.0,0,0,0,1,34563fc584fe
14.0,3.0,5.9,6.2,2.0,0,0,0,0,0a2610b80f75
8.1,1.8,7.9,17.1,4.0,0,0,0,1,ff17014189f8
6.2,0.0,0.2,6.7,4.0,0,0,0,0,cb7aeaa0ad4f
9.7,3.4,1.0,9.1,-3.0,0,0,0,0,4a72ccc81198
7.0,4.2,4.5,18.5,-2.0,0,0,0,0,112bffd34f01
14.7,3.9,7.2,14.0,-5.0,0,0,0,1,93e70cc69b53
17.6,6.9,1.2,0.0,-3.0,0,1,0,0,a565c099ea13
24.8,3.8,0.4,0.7,0.0,0,1,0,0,2de5b42379ae
2.8,2.6,0.6,24.0,3.0,0,0,0,0,bb623cbddcc0
13.3,4.5,4.6,7.7,0.0,0,0,0,0,246e2aa0080e
7.0,2.9,8.2,2.4,4.0,0,1,0,1,4d91aee4e78a
25.0,3.5,0.8,6.5,2.0,0,0,0,0,eaeee435e834
25.1,6.0,1.1,13.8,0.0,0,0,0,0,08eddfab7b29
25.7,4.0,0.7,19.4,1.0,0,0,0,0,cf11dc1a1dff
10.9,3.2,3.7,4.1,0.0,0,1,0,1,279469db1e1a
22.9,6.7,0.8,10.2,-4.0,0,0,0,0,449632447785
26.2,5.5,0.7,4.4,1.0,0,1,0,0,76ef7b562158
3.5,2.8,1.7,18.2,1.0,0,0,0,0,810bc06f8bfd
4.3,1.7,1.5,11.7,1.0,0,0,0,0,36201f5f7800
5.5,2.2,1.4,0.0,-3.0,0,1,0,0,5e8f9bc7abb7
5.1,3.9,6.5,15.5,0.0,0,0,0,1,e9e6bd17fa84
7.0,4.9,1.4,6.9,0.0,0,0,0,0,a487c4348092
21.5,5.9,0.9,15.1,0.0,0,0,0,0,8533116530b8
25.2,5.4,1.1,20.8,5.0,1,0,0,0,eac5050e46e8
9.9,0.4,3.1,12.2,0.0,0,0,0,0,9ee27feaf694
0.7,2.8,0.2,24.0,6.0,1,0,0,0,87f5f6045ecb
9.4,3.1,4.7,17.0,-4.0,0,0,0,0,134f442d3eae
22.2,7.5,0.7,11.7,4.0,0,0,0,0,220c5b84d7a2
4.9,1.5,1.5,3.6,-5.0,0,1,0,0,6252e6d1a500
2.8,2.4,2.8,20.2,-5.0,0,0,0,0,bad1baf8556e
6.9,1.7,4.3,21.4,-1.0,0,0,0,1,8e1c9bc50f55
6.0,2.1,6.9,19.0,3.0,0,0,0,1,7faa8952ec5c
24.2,5.2,3.9,3.5,-3.0,0,1,0,0,947faa8c3d3b
3.1,2.6,10.1,2.9,-4.0,0,1,1,1,9c8005098dba
23.8,5.3,1.1,12.1,1.0,0,0,0,0,3b8282dbe8dc
