PLAYER_NAME,total_shots,made_shots,avg_shot_dist,avg_close_def_dist
james harden,1034,464,14.854255319148935,3.7498065764023214
mnta ellis,1031,462,14.418525703200777,4.3139670223084385
lamarcus aldridge,1017,461,13.58220255653884,4.053687315634218
damian lillard,967,417,16.40630816959669,4.119648397104447
lebron james,966,469,14.079813664596273,4.075672877846791
klay thompson,962,447,16.807900207900207,4.131808731808732
russell westbrook,958,415,12.797286012526095,3.5766179540709815
stephen curry,947,465,17.449841605068638,4.517951425554382
kyrie irving,916,422,14.110480349344979,3.6191048034934497
tyreke evans,905,392,10.112928176795581,3.5583425414364642
blake griffin,876,436,11.837671232876712,4.620890410958904
rudy gay,869,386,13.025546605293442,3.5762945914844653
nikola vucevic,866,462,9.507390300230947,3.6594688221709006
chris paul,866,416,16.644572748267898,4.6041570438799075
gordon hayward,863,387,14.746234067207416,4.502201622247973
john wall,857,384,14.33267211201867,4.51365227537923
kyle lowry,857,358,15.954842473745623,3.8969661610268376
anthony davis,825,451,10.441818181818181,3.7082424242424246
brandon knight,809,344,16.479604449938197,4.4600741656365885
markieff morris,808,377,12.690346534653465,4.0797029702970296
marc gasol,804,399,11.059203980099502,4.147139303482588
dirk nowtizski,801,367,17.275031210986267,4.476029962546817
pau gasol,798,398,10.138471177944862,3.7755639097744362
andrew wiggins,791,347,12.172187104930469,3.4670037926675095
jamal crawford,780,313,18.7475641025641,3.783846153846154
carmelo anthony,777,341,15.03088803088803,3.612226512226512
jimmy butler,774,360,13.15529715762274,4.05749354005168
derrick rose,771,315,14.73657587548638,3.7250324254215306
trey burke,766,287,16.779634464751958,4.028590078328982
eric bledsoe,764,346,12.793848167539267,4.387434554973822
demarcus cousins,761,350,8.725361366622865,3.3913272010512485
al jefferson,761,363,9.326544021024967,3.028120893561104
joe johnson,760,333,15.340657894736841,4.050131578947369
kevin love,753,324,15.05750332005312,4.489110225763612
avery bradley,749,322,17.531775700934578,4.400267022696929
paul millsap,749,355,10.876234979973297,4.149799732977303
wesley matthews,743,335,18.504172274562585,4.87092866756393
goran dragic,743,372,11.769986541049798,3.9353970390309554
wilson chandler,729,303,15.363648834019205,4.064609053497942
mike conley,721,321,14.08626907073509,4.211789181692094
