column,status,flag_reason
SEASON_YEAR,PASS,
PLAYER_ID,PASS,
PLAYER_NAME,PASS,
NICKNAME,PASS,
TEAM_ID,PASS,
TEAM_ABBREVIATION,PASS,
TEAM_NAME,PASS,
GAME_ID,PASS,
GAME_DATE,PASS,
MATCHUP,PASS,
WL,PASS,
MIN,PASS,
FGM,PASS,
FGA,PASS,
FG_PCT,PASS,
FG3M,PASS,
FG3A,PASS,
FG3_PCT,PASS,
FTM,PASS,
FTA,PASS,
FT_PCT,PASS,
OREB,PASS,
DREB,PASS,
REB,PASS,
AST,PASS,
TOV,PASS,
STL,PASS,
BLK,PASS,
BLKA,PASS,
PF,PASS,
PFD,PASS,
PTS,PASS,
PLUS_MINUS,PASS,
NBA_FANTASY_PTS,PASS,
DD2,PASS,
TD3,PASS,
WNBA_FANTASY_PTS,PASS,
GP_RANK,PASS,
W_RANK,PASS,
L_RANK,PASS,
W_PCT_RANK,PASS,
MIN_RANK,PASS,
FGM_RANK,PASS,
FGA_RANK,PASS,
FG_PCT_RANK,PASS,
FG3M_RANK,PASS,
FG3A_RANK,PASS,
FG3_PCT_RANK,PASS,
FTM_RANK,PASS,
FTA_RANK,PASS,
FT_PCT_RANK,PASS,
OREB_RANK,PASS,
DREB_RANK,PASS,
REB_RANK,PASS,
AST_RANK,PASS,
TOV_RANK,PASS,
STL_RANK,PASS,
BLK_RANK,PASS,
BLKA_RANK,PASS,
PF_RANK,PASS,
PFD_RANK,PASS,
PTS_RANK,PASS,
PLUS_MINUS_RANK,PASS,
NBA_FANTASY_PTS_RANK,PASS,
DD2_RANK,PASS,
TD3_RANK,PASS,
WNBA_FANTASY_PTS_RANK,PASS,
AVAILABLE_FLAG,PASS,
MIN_SEC,PASS,
"PLAYER_ID, GAME_ID",PASS,
