game_id,game_date,home_team_id,away_team_id,home_score,away_score,venue_id
718780,2023-03-30,120,144,2,7,3309
718781,2023-03-30,147,137,5,0,3313
718782,2023-03-30,111,110,9,10,3
718777,2023-03-30,112,158,4,0,17
718776,2023-03-30,139,116,4,0,12
718779,2023-03-30,140,143,11,7,5325
718773,2023-03-30,113,134,4,5,2602
718772,2023-03-30,138,141,9,10,2889
718775,2023-03-30,118,142,0,2,7
718774,2023-03-30,146,121,3,5,4169
718768,2023-03-30,117,145,2,3,2392
718778,2023-03-30,135,115,2,7,2680
718769,2023-03-30,133,108,2,1,10
718770,2023-03-30,119,109,8,2,22
718767,2023-03-30,136,114,3,0,680
718771,2023-03-31,146,121,2,1,4169
718764,2023-03-31,117,145,6,3,2392
718766,2023-03-31,135,115,1,4,2680
718765,2023-03-31,119,109,1,2,22
718763,2023-03-31,136,114,4,9,680
718760,2023-04-01,117,145,6,4,2392
718759,2023-04-01,138,141,4,1,2889
718758,2023-04-01,112,158,1,3,17
718752,2023-04-01,140,143,16,3,5325
718753,2023-04-01,120,144,1,7,3309
718762,2023-04-01,147,137,5,7,3313
718757,2023-04-01,133,108,1,13,10
718761,2023-04-01,111,110,9,8,3
718756,2023-04-01,113,134,6,2,2602
718754,2023-04-01,139,116,12,2,12
718751,2023-04-01,118,142,0,2,7
718755,2023-04-01,146,121,2,6,4169
718750,2023-04-01,135,115,8,4,2680
718749,2023-04-01,119,109,10,1,22
718746,2023-04-01,136,114,0,2,680
718742,2023-04-02,139,116,5,1,12
718748,2023-04-02,111,110,9,5,3
718743,2023-04-02,120,144,4,1,3309
718747,2023-04-02,147,137,6,0,3313
718744,2023-04-02,113,134,3,1,2602
718741,2023-04-02,146,121,1,5,4169
718745,2023-04-02,118,142,4,7,7
718740,2023-04-02,117,145,3,6,2392
718737,2023-04-02,138,141,9,4,2889
718738,2023-04-02,112,158,5,9,17
718734,2023-04-02,133,108,0,6,10
718736,2023-04-02,119,109,1,2,22
718733,2023-04-02,135,115,3,1,2680
718735,2023-04-02,136,114,5,6,680
718739,2023-04-02,140,143,2,1,5325
718731,2023-04-03,158,121,10,0,32
718730,2023-04-03,145,137,3,12,4
718728,2023-04-03,113,112,7,6,2602
718729,2023-04-03,146,142,1,11,4169
718732,2023-04-03,120,139,2,6,3309
718725,2023-04-03,147,143,8,1,3313
718724,2023-04-03,111,134,6,7,3
718719,2023-04-03,118,141,9,5,7
718727,2023-04-03,138,144,4,8,2889
718726,2023-04-03,140,110,0,2,5325
718723,2023-04-03,117,116,6,7,2392
718721,2023-04-03,133,114,11,12,10
718722,2023-04-03,135,109,5,4,2680
718720,2023-04-03,136,108,3,7,680
718718,2023-04-03,119,115,13,4,22
718717,2023-04-04,135,109,6,8,2680
718716,2023-04-04,113,112,5,12,2602
718714,2023-04-04,146,142,1,0,4169
718715,2023-04-04,120,139,6,10,3309
718710,2023-04-04,147,143,1,4,3313
718713,2023-04-04,111,134,1,4,3
718708,2023-04-04,118,141,1,4,7
718712,2023-04-04,158,121,9,0,32
718711,2023-04-04,138,144,1,4,2889
718709,2023-04-04,140,110,2,7,5325
718705,2023-04-04,117,116,3,6,2392
718707,2023-04-04,133,114,4,3,10
718706,2023-04-04,136,108,11,2,680
718703,2023-04-04,119,115,5,2,22
718704,2023-04-05,120,139,2,7,3309
718699,2023-04-05,147,143,4,2,3313
718701,2023-04-05,146,142,5,2,4169
718697,2023-04-05,138,144,2,5,2889
718702,2023-04-05,111,134,1,4,3
718698,2023-04-05,158,121,7,6,32
718694,2023-04-05,140,110,5,2,5325
718696,2023-04-05,117,116,8,2,2392
718695,2023-04-05,145,137,7,3,4
718689,2023-04-05,133,114,4,6,10
718691,2023-04-05,136,108,3,4,680
718692,2023-04-05,118,141,0,3,7
718690,2023-04-06,116,111,3,6,2394
718686,2023-04-06,118,141,3,6,7
718687,2023-04-06,145,137,6,16,4
718682,2023-04-06,115,120,1,0,19
718681,2023-04-06,144,135,7,6,4705
718683,2023-04-06,109,119,2,5,15
718693,2023-04-07,121,146,9,3,3289
718675,2023-04-07,112,140,2,0,17
718685,2023-04-07,143,113,5,2,2681
718688,2023-04-07,110,147,7,6,2
718677,2023-04-07,114,136,3,5,5
718684,2023-04-07,142,117,3,2,3312
718679,2023-04-07,134,145,13,9,31
718680,2023-04-07,137,118,1,3,2395
718678,2023-04-07,139,133,9,5,12
718676,2023-04-07,144,135,4,5,4705
718674,2023-04-07,158,138,4,0,32
718673,2023-04-07,115,120,5,10,19
718670,2023-04-07,108,141,3,4,1
718671,2023-04-07,109,119,6,3,15
718666,2023-04-08,142,117,9,6,3312
718672,2023-04-08,137,118,5,6,2395
718669,2023-04-08,112,140,10,3,17
718668,2023-04-08,143,113,3,2,2681
718667,2023-04-08,116,111,5,14,2394
718665,2023-04-08,139,133,11,0,12
718661,2023-04-08,121,146,5,2,3289
718663,2023-04-08,114,136,2,3,5
718662,2023-04-08,134,145,5,11,31
718664,2023-04-08,110,147,1,4,2
718660,2023-04-08,158,138,0,6,32
718659,2023-04-08,144,135,1,4,4705
718656,2023-04-08,109,119,12,8,15
718658,2023-04-08,115,120,6,7,19
718657,2023-04-08,108,141,9,5,1
718652,2023-04-09,143,113,4,6,2681
718654,2023-04-09,116,111,1,4,2394
718655,2023-04-09,139,133,11,0,12
718653,2023-04-09,134,145,1,0,31
718651,2023-04-09,110,147,3,5,2
718646,2023-04-09,114,136,7,6,5
718647,2023-04-09,121,146,2,7,3289
718649,2023-04-09,142,117,1,5,3312
718650,2023-04-09,158,138,6,1,32
718642,2023-04-09,112,140,2,8,17
718645,2023-04-09,115,120,7,6,19
718643,2023-04-09,137,118,3,1,2395
718644,2023-04-09,108,141,11,12,1
718639,2023-04-09,109,119,11,6,15
718648,2023-04-09,144,135,2,10,4705
718640,2023-04-10,142,145,3,4,3312
718637,2023-04-10,114,147,3,2,5
718635,2023-04-10,110,133,5,1,2
718632,2023-04-10,134,117,2,8,31
718638,2023-04-10,139,111,1,0,12
718633,2023-04-10,143,146,15,3,2681
718634,2023-04-10,121,135,5,0,3289
718636,2023-04-10,144,113,5,4,4705
718628,2023-04-10,112,136,3,2,17
718630,2023-04-10,140,118,11,2,5325
718629,2023-04-10,115,138,7,4,19
718631,2023-04-10,108,120,4,6,1
718627,2023-04-10,109,158,3,0,15
718641,2023-04-10,137,119,1,9,2395
718626,2023-04-11,114,147,2,11,5
718618,2023-04-11,110,133,12,8,2
718623,2023-04-11,134,117,7,4,31
718625,2023-04-11,139,111,7,2,12
718619,2023-04-11,143,146,4,8,2681
718622,2023-04-11,141,116,9,3,14
718621,2023-04-11,121,135,2,4,3289
718620,2023-04-11,144,113,7,6,4705
718617,2023-04-11,112,136,14,9,17
718616,2023-04-11,142,145,4,3,3312
718615,2023-04-11,140,118,8,5,5325
718613,2023-04-11,115,138,6,9,19
718614,2023-04-11,108,120,2,0,1
718611,2023-04-11,109,158,1,7,15
718624,2023-04-11,137,119,5,0,2395
718608,2023-04-12,134,117,0,7,31
718610,2023-04-12,121,135,5,2,3289
718605,2023-04-12,142,145,3,1,3312
718604,2023-04-12,114,147,3,4,5
718606,2023-04-12,112,136,2,5,17
718607,2023-04-12,115,138,4,7,19
718598,2023-04-12,109,158,7,3,15
718609,2023-04-12,143,146,2,3,2681
718602,2023-04-12,108,120,3,2,1
718599,2023-04-12,110,133,4,8,2
718600,2023-04-12,139,111,9,7,12
718603,2023-04-12,141,116,4,3,14
718601,2023-04-12,144,113,5,4,4705
718595,2023-04-12,140,118,1,10,5325
718612,2023-04-12,137,119,5,10,2395
