game_id,inning,home_runs,away_runs,home_hits,away_hits,home_errors,away_errors,home_lob,away_lob
718780,1,0,0,1,1,0,0,0,2
718780,2,1,3,2,4,1,1,1,3
718780,3,0,0,1,1,0,0,1,2
718780,4,0,1,1,2,0,0,1,1
718780,5,1,0,2,1,1,0,1,2
718780,6,0,0,1,0,0,1,1,0
718780,7,0,0,0,1,0,0,1,1
718780,8,0,0,0,1,0,0,2,1
718780,9,0,3,0,1,1,0,1,0
718781,1,1,0,2,0,0,0,1,1
718781,2,0,0,0,1,0,0,0,1
718781,3,0,0,0,0,0,0,1,0
718781,4,2,0,2,0,0,0,0,1
718781,5,0,0,0,1,0,0,0,1
718781,6,0,0,0,1,0,0,0,0
718781,7,2,0,3,1,0,0,2,1
718781,8,0,0,1,0,0,0,1,0
718781,9,,0,0,0,0,0,0,1
718782,1,1,1,1,1,0,0,0,2
718782,2,0,0,0,0,0,0,0,0
718782,3,0,0,0,2,0,0,0,1
718782,4,1,4,2,3,0,0,2,3
718782,5,0,3,1,2,0,0,0,1
718782,6,2,0,3,1,0,0,1,1
718782,7,0,2,0,3,0,0,0,0
718782,8,3,0,2,1,1,0,1,2
718782,9,2,0,2,2,0,2,1,2
718777,1,0,0,0,1,0,0,1,2
718777,2,0,0,0,0,0,0,0,0
718777,3,4,0,3,1,1,1,2,2
718777,4,0,0,0,0,0,0,0,0
718777,5,0,0,1,1,0,0,1,1
718777,6,0,0,0,0,0,0,0,0
718777,7,0,0,2,0,0,0,3,1
718777,8,0,0,0,0,0,0,0,0
718777,9,,0,0,1,0,0,0,1
718776,1,0,0,1,1,0,0,1,1
718776,2,0,0,0,1,0,0,1,1
718776,3,1,0,1,1,0,0,0,2
718776,4,0,0,0,1,0,0,0,0
718776,5,0,0,0,0,0,0,0,0
718776,6,2,0,3,0,0,0,1,0
718776,7,0,0,0,1,0,0,1,2
718776,8,1,0,1,0,0,0,0,1
718776,9,,0,0,1,0,0,0,1
718779,1,0,0,0,0,0,0,1,0
718779,2,0,2,0,2,0,0,0,0
718779,3,0,2,0,3,0,0,0,1
718779,4,9,1,7,2,0,0,0,2
718779,5,2,1,2,3,0,0,0,2
718779,6,0,0,1,0,0,0,1,0
718779,7,0,1,0,1,0,0,1,0
718779,8,0,0,0,0,0,0,0,0
718779,9,,0,0,1,0,0,0,2
718773,1,1,0,2,1,0,0,1,2
718773,2,0,0,0,1,0,0,1,1
718773,3,0,1,0,2,0,1,2,2
718773,4,1,3,1,1,0,0,0,2
718773,5,2,0,2,0,0,0,3,0
718773,6,0,0,0,1,0,0,0,2
718773,7,0,0,0,0,0,0,0,0
718773,8,0,1,1,0,0,0,0,0
718773,9,0,0,1,0,0,0,1,0
718772,1,1,3,2,5,0,1,2,2
718772,2,0,1,2,2,0,0,2,2
718772,3,2,0,3,1,0,0,1,1
718772,4,2,1,2,2,0,0,0,1
718772,5,0,0,0,0,0,0,0,0
718772,6,1,0,3,2,0,0,2,2
718772,7,1,1,1,2,0,0,2,1
718772,8,2,2,2,3,0,0,2,2
718772,9,0,2,0,2,0,0,0,1
718775,1,0,0,0,2,0,0,0,3
718775,2,0,0,0,1,0,0,0,0
718775,3,0,0,0,0,0,0,1,0
718775,4,0,0,1,0,0,0,2,0
718775,5,0,0,1,2,0,0,2,2
718775,6,0,2,0,4,0,0,0,3
718775,7,0,0,0,1,0,0,0,3
718775,8,0,0,0,0,0,0,0,0
718775,9,0,0,0,1,0,0,1,1
718774,1,0,0,1,0,0,0,0,0
718774,2,0,0,0,0,0,0,0,0
718774,3,0,1,0,1,0,0,0,0
718774,4,0,0,0,0,0,0,0,1
718774,5,0,0,0,0,0,0,1,0
718774,6,3,2,3,2,1,0,0,2
718774,7,0,2,1,2,0,0,1,1
718774,8,0,0,0,1,0,0,0,2
718774,9,0,0,0,2,0,0,0,2
718768,1,0,0,1,1,0,0,1,1
718768,2,0,0,0,0,0,0,0,0
718768,3,0,0,0,1,0,0,0,1
718768,4,0,0,0,2,0,0,0,2
718768,5,0,0,0,2,0,0,0,3
718768,6,0,0,0,0,0,0,0,0
718768,7,1,0,1,2,0,0,2,3
718768,8,0,1,1,1,1,0,0,0
718768,9,1,2,1,2,0,0,1,1
718778,1,1,1,2,3,0,0,1,2
718778,2,0,0,0,0,0,0,0,1
718778,3,0,0,0,1,1,0,0,2
718778,4,1,0,2,0,0,1,1,0
718778,5,0,3,0,3,0,0,0,0
718778,6,0,1,1,3,0,0,2,2
718778,7,0,2,2,3,0,0,2,1
718778,8,0,0,0,2,0,0,0,1
718778,9,0,0,0,2,0,0,1,2
718769,1,0,0,0,0,0,0,1,0
718769,2,0,0,0,0,0,0,0,0
718769,3,0,0,0,1,0,0,0,1
718769,4,0,0,2,1,0,0,2,2
718769,5,0,1,0,2,1,0,1,0
718769,6,0,0,0,0,0,0,1,1
718769,7,0,0,0,0,0,0,0,0
718769,8,2,0,4,1,0,0,2,2
718769,9,,0,0,0,0,0,0,1
718770,1,0,1,1,2,0,0,1,1
718770,2,0,1,0,1,0,0,0,0
718770,3,2,0,2,0,1,0,1,0
718770,4,0,0,0,0,0,0,1,0
718770,5,3,0,4,0,0,0,1,0
718770,6,2,0,2,1,0,0,1,0
718770,7,0,0,1,0,0,0,1,0
718770,8,1,0,2,0,0,1,2,0
718770,9,,0,0,0,0,0,0,0
718767,1,0,0,1,0,0,0,1,0
718767,2,0,0,1,0,0,0,1,0
718767,3,0,0,1,1,0,0,1,1
718767,4,0,0,1,0,0,0,0,0
718767,5,0,0,1,0,0,0,1,0
718767,6,0,0,1,0,0,0,1,0
718767,7,0,0,0,1,0,0,0,1
718767,8,3,0,1,0,0,0,0,0
718767,9,,0,0,2,0,0,0,2
718771,1,0,0,1,0,0,0,1,0
718771,2,1,0,3,0,0,0,2,0
718771,3,0,0,1,0,0,0,1,0
718771,4,0,0,0,1,0,0,0,1
718771,5,0,0,3,0,0,0,2,0
718771,6,0,0,1,1,0,0,1,3
718771,7,0,0,0,0,0,0,0,0
718771,8,1,0,1,1,0,0,0,1
718771,9,,1,0,1,0,0,0,0
718764,1,0,1,0,1,0,0,0,1
718764,2,0,0,1,1,0,0,3,0
718764,3,0,0,0,1,0,0,1,1
718764,4,0,0,0,1,0,0,0,1
718764,5,0,0,0,1,0,0,0,1
718764,6,2,2,2,3,0,0,0,2
718764,7,3,0,3,1,0,0,1,1
718764,8,1,0,1,1,0,0,1,1
718764,9,,0,0,1,0,0,0,1
718766,1,0,2,0,3,0,0,1,2
718766,2,0,0,1,0,0,0,1,0
718766,3,0,0,0,0,0,0,0,1
718766,4,0,0,0,0,0,0,0,0
718766,5,0,2,1,2,0,0,1,0
718766,6,0,0,1,0,0,0,0,0
718766,7,0,0,0,1,0,0,0,1
718766,8,1,0,1,2,0,0,1,2
718766,9,0,0,1,1,0,0,1,2
718765,1,0,0,1,0,0,0,2,0
718765,2,0,0,2,1,0,0,1,1
718765,3,0,0,0,0,0,0,1,1
718765,4,0,0,0,1,0,0,2,1
718765,5,0,0,0,0,0,0,1,0
718765,6,0,0,0,0,0,0,1,0
718765,7,1,0,2,1,0,0,1,1
718765,8,0,2,0,3,0,0,2,1
718765,9,0,0,0,1,0,0,1,1
718763,1,1,0,2,0,0,0,1,2
718763,2,0,3,1,2,2,0,1,0
718763,3,2,0,2,0,0,0,1,1
718763,4,1,2,1,3,0,0,1,2
718763,5,0,3,0,4,1,0,0,2
718763,6,0,0,1,1,0,0,2,1
718763,7,0,0,0,0,0,0,1,1
718763,8,0,1,0,3,0,0,0,2
718763,9,0,0,0,0,0,0,0,1
718760,1,2,0,4,1,0,0,2,1
718760,2,0,1,0,1,0,0,2,0
718760,3,0,0,0,2,0,0,0,3
718760,4,1,2,1,3,0,1,1,1
718760,5,0,0,0,0,0,0,0,0
718760,6,0,0,0,0,0,0,1,1
718760,7,1,0,3,0,0,0,3,0
718760,8,2,0,3,1,0,0,2,2
718760,9,,1,0,2,0,0,0,2
718759,1,0,0,1,0,0,0,1,3
718759,2,0,0,1,0,0,0,1,1
718759,3,3,0,3,0,0,1,1,2
718759,4,0,0,1,0,0,0,1,1
718759,5,0,0,0,0,0,0,0,0
718759,6,0,0,2,0,0,0,2,0
718759,7,0,0,0,1,0,0,0,1
718759,8,1,1,2,0,0,0,1,2
718759,9,,0,0,2,0,0,0,2
718758,1,0,0,1,1,0,0,1,1
718758,2,0,0,0,0,0,0,0,0
718758,3,0,0,0,1,0,0,0,1
718758,4,0,0,1,0,0,0,1,0
718758,5,0,0,0,1,0,0,1,1
718758,6,1,0,1,0,0,0,0,0
718758,7,0,0,0,0,0,0,0,0
718758,8,0,3,0,3,0,0,0,2
718758,9,0,0,2,0,0,0,1,1
718752,1,2,0,4,2,0,0,2,1
718752,2,0,0,1,0,0,0,1,0
718752,3,2,0,2,0,0,1,1,1
718752,4,0,2,0,3,0,0,0,2
718752,5,3,1,2,1,0,0,1,0
718752,6,0,0,1,1,0,0,1,0
718752,7,6,0,4,1,0,1,1,1
718752,8,3,0,3,1,0,0,3,1
718752,9,,0,0,0,0,0,0,1
718753,1,0,2,0,3,0,0,0,0
718753,2,0,0,0,0,0,0,0,0
718753,3,0,2,1,3,0,0,1,2
718753,4,0,1,0,1,0,0,2,0
718753,5,0,0,1,0,0,0,1,0
718753,6,0,0,1,1,0,0,1,1
718753,7,0,2,0,2,0,0,0,0
718753,8,0,0,1,0,0,0,0,0
718753,9,1,0,1,1,0,0,0,0
718762,1,1,0,1,0,0,1,2,1
718762,2,0,0,1,2,0,0,1,2
718762,3,1,0,1,0,0,0,0,0
718762,4,0,3,1,3,0,0,1,1
718762,5,1,0,3,0,0,0,2,1
718762,6,0,2,0,4,0,0,0,3
718762,7,0,0,0,0,0,0,0,0
718762,8,1,0,1,0,0,0,0,1
718762,9,1,2,2,3,0,0,2,1
718757,1,0,0,0,0,0,0,0,0
718757,2,0,0,0,0,0,1,1,0
718757,3,0,11,0,7,1,0,0,0
718757,4,0,0,1,0,0,0,1,0
718757,5,1,0,1,0,0,0,2,1
718757,6,0,1,1,2,0,0,0,1
718757,7,0,1,0,2,1,0,0,2
718757,8,0,0,0,0,0,0,1,0
718757,9,0,0,2,0,0,0,1,0
718761,1,0,3,1,3,0,0,1,0
718761,2,1,0,1,1,0,0,0,2
718761,3,4,4,4,3,0,0,0,1
718761,4,0,1,0,3,0,0,0,1
718761,5,0,0,0,1,0,0,1,1
718761,6,0,0,0,0,0,0,1,0
718761,7,2,0,4,1,0,0,2,1
718761,8,0,0,0,0,0,0,1,0
718761,9,2,0,1,1,0,1,0,2
718756,1,3,1,3,3,1,0,0,3
718756,2,0,0,0,1,0,0,0,1
718756,3,0,1,0,2,0,0,0,2
718756,4,0,0,0,1,0,0,1,1
718756,5,0,0,0,0,0,0,1,0
718756,6,3,0,2,0,0,0,0,0
718756,7,0,0,0,0,0,0,0,0
718756,8,0,0,1,0,0,0,1,0
718756,9,,0,0,0,0,0,0,0
718754,1,1,0,3,0,0,0,2,0
718754,2,0,0,1,1,1,0,2,2
718754,3,7,0,6,0,0,1,3,1
718754,4,2,1,2,2,0,0,0,1
718754,5,0,0,0,0,0,0,0,0
718754,6,0,1,0,2,1,0,0,1
718754,7,2,0,1,0,0,0,1,0
718754,8,0,0,0,0,0,0,1,0
718754,9,,0,0,1,0,0,0,2
718751,1,0,1,0,2,0,0,0,2
718751,2,0,0,1,1,0,0,2,0
718751,3,0,0,0,0,0,0,3,1
718751,4,0,0,1,0,0,1,1,0
718751,5,0,0,1,1,0,0,1,1
718751,6,0,1,0,1,0,0,0,1
718751,7,0,0,0,0,0,0,0,0
718751,8,0,0,1,0,0,0,1,0
718751,9,0,0,0,0,0,0,0,0
718755,1,0,0,1,0,0,0,2,2
718755,2,2,1,2,1,0,0,1,1
718755,3,0,0,0,0,0,0,0,1
718755,4,0,1,1,1,0,0,1,2
718755,5,0,2,2,3,0,0,2,1
718755,6,0,0,0,1,0,0,0,1
718755,7,0,1,1,1,0,0,2,0
718755,8,0,0,2,2,0,0,2,2
718755,9,0,1,1,3,0,0,0,2
718750,1,2,0,1,1,0,0,2,0
718750,2,0,0,1,1,0,0,1,2
718750,3,2,0,3,0,0,0,1,0
718750,4,0,0,1,0,0,0,1,0
718750,5,1,1,1,1,0,0,1,1
718750,6,1,3,2,3,0,0,1,1
718750,7,0,0,0,0,0,0,0,0
718750,8,2,0,1,0,0,0,2,0
718750,9,,0,0,0,0,0,0,0
718749,1,5,0,3,0,0,0,1,0
718749,2,0,1,0,1,0,0,1,0
718749,3,0,0,1,1,0,0,1,1
